ID,Score,Name,Role,Games,WR,KDA,G Left,W Left,K Left,K/W Left,CPM,DPM,HPM,eHPM,SPM,OPM,Playtime,K/M,D/M,A/M,Dt/M,wD/tD,sD/tD,Playtime (Min),Credits,Kills,Deaths,Assists,Total Damage,Weapon Damage,Taken,Shielding,Healing,Healing (Self),Wins,Losses,Objective Time
2307,3408.795,Sha Lin,Damage,772,0.632,2.757,175,175,1329,7.594285714285714,294.19,6990.534,0.0,97.141,0.0,0.945,141h 54m,1.35,0.642,0.838,2815.835,0.973,0.027,8514,2504733,11496,5464,7135,59517407,57901196,23974015,0,0,827061,488,284,8048
2092,4158.185,Cassie,Damage,665,0.633,3.177,149,149,-765,0/149,318.122,8143.93,0.0,315.172,0.0,1.589,119h 42m,1.429,0.603,0.976,3509.582,0.858,0.142,7182,2284753,10263,4334,7008,58489704,50193397,25205816,0,0,2263562,421,244,11415
2205,3791.896,Androxus,Flank,629,0.663,2.627,78,78,2035,26.08974358974359,337.927,6833.783,0.0,191.793,0.0,0.753,107h 5m,1.836,0.848,0.784,3600.886,0.867,0.133,6425,2171182,11795,5449,5034,43907054,38055121,23135692,0,0,1232270,417,212,4837
2348,4404.001,Inara,Front Line,461,0.668,3.255,49,49,-576,0/49,330.132,5421.264,0.0,645.775,1354.855,9.685,80h 30m,0.873,0.467,1.294,7901.506,0.858,0.142,4830,1594538,4215,2255,6252,26184706,22462657,38164275,6543948,0,3119091,308,153,46779
2554,0.0,Caspian,Flank,0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2551,0.0,Lillith,Support,0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2555,0.0,Kasumi,Damage,0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2560,0.0,Nyx,Front Line,0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2549,0.0,VII,Flank,0,0.0,0.0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2548,0.0,Azaan,Front Line,1,1.0,5.0,9,-1,-4,-,491.0,3625.8,0.0,1123.2,3929.6,0.0,5m,0.4,0.4,3.2,10349.8,0.893,0.107,5,2455,2,2,16,18129,16185,51749,19648,0,5616,1,0,0
2550,2845.713,Betty la Bomba,Damage,17,0.706,3.03,0,0,-2,-,469.562,7133.896,0.0,431.729,0.0,1.031,1h 36m,1.281,0.688,1.604,4354.042,0.584,0.416,96,45078,123,66,154,684854,400258,417988,0,0,41446,12,5,99
2372,3158.21,Seris,Support,34,0.706,3.077,0,0,-9,-,412.307,2798.63,5300.215,6533.011,0.0,3.493,4h 30m,0.437,0.456,1.93,3487.719,0.854,0.146,270,111323,118,123,521,755630,645330,941684,0,1431058,332855,24,10,943
2149,3067.0,Ruckus,Front Line,57,0.702,3.104,0,0,-36,-,348.216,5889.597,0.0,642.974,2778.348,5.062,9h 38m,1.173,0.597,1.36,7035.517,0.74,0.26,578,201269,678,345,786,3404187,2519391,4066529,1605885,0,371639,40,17,2926
2509,3757.035,Imani,Damage,37,0.703,3.245,0,0,-47,-,456.312,9288.851,0.0,474.929,25.674,1.972,4h 42m,1.617,0.688,1.23,3927.426,0.816,0.184,282,128680,456,194,347,2619456,2138058,1107534,7240,0,133930,26,11,556
2542,5270.5,Rei,Support,17,0.706,5.125,0,0,-85,-,514.217,3339.193,7979.12,10373.88,0.0,0.301,1h 23m,0.747,0.482,3.446,3957.843,0.981,0.019,83,42680,62,40,286,277153,271963,328501,0,662267,198765,12,5,25
2540,4928.607,Octavia,Damage,90,0.7,3.448,0,0,-193,-,453.811,7252.646,133.67,627.353,31.929,3.445,12h 11m,1.382,0.591,1.312,3713.183,0.876,0.124,731,331736,1010,432,959,5301684,4645664,2714337,23340,97713,360882,63,27,2518
2393,3569.582,Willo,Damage,31,0.71,3.062,0,-1,-11,-,478.384,7968.978,0.0,259.039,0.0,2.197,3h 49m,1.611,0.812,1.751,4176.633,0.877,0.123,229,109550,369,186,401,1824896,1600243,956449,0,0,59320,22,9,503
2543,2757.753,Saati,Damage,11,0.727,3.214,0,-1,-12,-,491.975,7315.543,0.0,655.63,0.0,2.321,1h 21m,1.432,0.691,1.58,4569.667,0.801,0.199,81,39850,116,56,128,592559,474647,370143,0,0,53106,8,3,188
2254,2770.123,Grover,Support,18,0.722,3.19,0,-1,-17,-,415.962,3930.637,6233.019,8559.056,0.0,6.969,2h 40m,0.594,0.575,2.481,4260.456,0.762,0.238,160,66554,95,92,397,628902,479173,681673,0,997283,372166,13,5,1115
2512,3838.219,Atlas,Front Line,75,0.707,3.562,0,-1,-168,-,353.208,5921.437,0.0,927.533,0.0,9.584,11h 27m,0.914,0.437,1.282,7455.175,0.998,0.002,687,242654,628,300,881,4068027,4058689,5121705,0,0,637215,53,22,6584
2071,4317.157,Fernando,Front Line,231,0.701,3.281,0,-1,-300,-,344.782,5030.304,0.0,525.531,5458.552,6.393,35h 26m,0.986,0.503,1.326,7722.207,0.569,0.431,2126,733007,2097,1069,2820,10694427,6082974,16417413,11604881,0,1117278,162,69,13592
2529,4936.439,Tiberius,Damage,121,0.702,3.803,0,-1,-488,-,385.249,8653.382,0.0,1036.425,0.0,2.378,17h 19m,1.66,0.585,1.131,3957.435,0.837,0.163,1039,400274,1725,608,1175,8990864,7521448,4111775,0,0,1076846,85,36,2471
2477,3170.41,Terminus,Front Line,59,0.712,3.161,0,-2,-40,-,345.499,4855.774,0.0,1374.381,0.0,11.43,9h 53m,0.887,0.423,0.902,7350.732,0.438,0.562,593,204881,526,251,535,2879474,1260197,4358984,0,0,815008,42,17,6778
2479,3959.408,Khan,Front Line,112,0.705,3.824,0,-2,-380,-,311.076,5090.188,786.275,2206.52,2087.471,7.028,19h 11m,0.867,0.401,1.329,6977.123,0.943,0.057,1151,358048,998,461,1530,5858806,5526078,8030668,2402679,905002,1634702,79,33,8089
2536,3096.175,Vora,Flank,10,0.8,3.24,0,-3,-12,-,518.708,8417.764,0.0,1224.667,47.917,2.556,1h 12m,1.472,0.722,1.736,5168.5,0.852,0.148,72,37347,106,52,125,606079,516095,372132,3450,0,88176,8,2,184
2528,2957.648,Raum,Front Line,23,0.739,3.361,0,-3,-32,-,379.696,5453.667,0.0,2084.113,0.0,5.119,2h 48m,0.923,0.536,1.756,12352.911,0.792,0.208,168,63789,155,90,295,916216,725962,2075289,0,0,350131,17,6,860
2267,4506.116,Ying,Support,30,0.733,4.357,0,-3,-165,-,414.692,7186.452,3832.388,5515.32,0.0,4.896,4h 10m,1.18,0.488,1.892,3992.504,0.947,0.053,250,103673,295,122,473,1796613,1701257,998126,0,958097,420733,22,8,1224
2481,3280.817,Moji,Flank,38,0.737,3.183,0,-4,-41,-,384.55,5927.294,129.253,1145.075,0.0,3.722,5h 20m,1.688,0.7,1.081,4870.466,0.988,0.012,320,123056,540,224,346,1896734,1874517,1558549,0,41361,325063,28,10,1191
2420,3313.854,Zhin,Flank,32,0.75,3.161,0,-5,-27,-,403.345,6967.14,0.0,416.234,0.0,2.435,4h 38m,1.435,0.615,1.018,4386.971,0.862,0.138,278,112130,399,171,283,1936865,1669127,1219578,0,0,115713,24,8,677
2093,2831.714,Grohk,Support,32,0.75,3.259,0,-5,-44,-,334.307,5709.073,2914.175,4300.24,6.579,6.058,5h 42m,0.675,0.503,1.927,5118.222,0.596,0.404,342,114333,231,172,659,1952503,1163271,1750432,2250,996648,474034,24,8,2072
2288,3661.579,Makoa,Front Line,239,0.707,3.073,0,-5,-92,-,307.738,4932.661,0.0,424.646,3772.103,3.976,43h 50m,0.932,0.485,1.114,8007.667,0.958,0.042,2630,809350,2452,1275,2931,12972899,12434476,21060165,9920631,0,1116818,169,70,10456
2404,4640.344,Ash,Front Line,342,0.705,3.131,0,-5,-217,-,360.413,6182.483,0.0,309.125,3405.967,4.413,53h 9m,0.938,0.518,1.369,7607.146,0.942,0.058,3189,1149356,2990,1652,4366,19715939,18571719,24259188,10861628,0,985799,241,101,14073
2322,3408.019,Torvald,Front Line,53,0.736,3.16,0,-6,-33,-,369.117,3810.72,654.575,760.053,7915.848,3.609,7h 15m,0.621,0.48,1.795,3266.526,0.842,0.158,435,160566,270,209,781,1657663,1395300,1420939,3443394,284740,45883,39,14,1570
2056,3744.142,Pip,Support,36,0.75,3.382,0,-6,-72,-,411.966,6780.057,1835.312,3535.564,0.0,3.178,4h 58m,1.329,0.638,1.654,4096.466,0.928,0.072,298,122766,396,190,493,2020457,1874307,1220747,0,546923,506675,27,9,947
2495,3379.184,Dredge,Damage,14,0.857,3.136,0,-7,-8,-,476.42,6247.0,0.0,1137.882,263.555,13.134,1h 59m,1.151,0.496,0.807,3361.832,0.622,0.378,119,56694,137,59,96,743393,462194,400058,31363,0,135408,12,2,1563
2541,3506.901,Vatu,Flank,17,0.824,3.084,0,-7,-8,-,487.336,7992.562,0.0,731.227,0.0,3.359,2h 8m,1.75,0.789,1.367,4578.68,0.866,0.134,128,62379,224,101,175,1023048,885456,586071,0,0,93597,14,3,430
2491,3978.059,Furia,Support,35,0.771,3.318,0,-8,-49,-,437.112,5571.719,4308.715,5287.289,67.542,5.124,4h 9m,0.988,0.618,2.129,3131.514,0.75,0.25,249,108841,246,154,530,1387358,1041125,779747,16818,1072870,243665,27,8,1276
2314,5275.468,Tyra,Damage,108,0.722,3.63,0,-8,-379,-,429.727,7839.348,0.0,398.751,0.0,6.809,16h 13m,1.595,0.619,1.302,3806.823,0.624,0.376,973,418124,1552,602,1267,7627686,4759523,3704039,0,0,387985,78,30,6625
2480,6463.84,Vivian,Damage,78,0.731,4.544,0,-8,-523,-,446.776,8404.349,0.0,370.657,1058.168,2.827,10h 7m,1.756,0.558,1.563,3623.941,0.816,0.184,607,271193,1066,339,949,5101440,4161331,2199732,642308,0,224989,57,21,1716
2277,3891.441,Drogoz,Damage,26,0.808,3.014,0,-9,-2,-,490.587,7833.787,0.0,367.123,0.0,2.058,2h 35m,2.09,0.903,1.265,4230.955,0.823,0.177,155,76041,324,140,196,1214237,999377,655798,0,0,56904,21,5,319
2303,3257.558,Mal'Damba,Support,33,0.788,3.19,0,-9,-22,-,370.727,1794.045,4759.67,5613.394,0.0,3.481,4h 24m,0.367,0.439,2.068,2775.246,0.626,0.374,264,97872,97,116,546,473628,296724,732665,0,1256553,225383,26,7,919
2538,2801.834,Yagorath,Front Line,10,1.0,3.125,0,-10,-5,-,389.383,4660.358,0.0,2065.111,416.383,12.58,1h 21m,0.753,0.494,1.58,9042.531,0.601,0.399,81,31540,61,40,128,377489,226866,732445,33727,0,167274,10,0,1019
2517,6325.525,Io,Support,10,1.0,5.556,0,-10,-69,-,494.485,3819.412,6455.0,7375.544,0.0,4.044,1h 8m,0.926,0.397,2.559,2445.294,0.945,0.055,68,33625,63,27,174,259720,245442,166280,0,438940,62597,10,0,275
2338,3677.548,Maeve,Flank,180,0.717,3.208,0,-10,-231,-,308.019,7657.419,0.0,589.411,0.0,1.857,31h 40m,1.393,0.584,0.962,3507.283,0.99,0.01,1900,585236,2647,1110,1828,14549096,14403253,6663837,0,0,1119880,129,51,3528
2472,4995.754,Talus,Flank,87,0.736,3.609,0,-10,-309,-,421.321,6631.504,0.0,761.824,0.0,7.718,13h 17m,1.767,0.637,1.068,3471.952,0.95,0.05,797,335793,1408,508,851,5285309,5021668,2767146,0,0,607174,64,23,6151
2249,5021.143,Kinessa,Damage,348,0.71,3.409,0,-11,-802,-,354.554,7781.665,0.0,439.487,0.0,0.977,53h 57m,1.544,0.605,1.041,2966.72,0.92,0.08,3237,1147692,4997,1960,3371,25189251,23176666,9603273,0,0,1422619,247,101,3161
2057,4399.893,Skye,Flank,56,0.768,3.151,0,-12,-52,-,451.782,7599.097,1011.633,2469.928,0.0,5.806,7h 24m,1.822,0.784,1.295,4379.097,0.718,0.282,444,200591,809,348,575,3373999,2421150,1944319,0,449165,647483,43,13,2578
2362,4382.823,Lex,Flank,42,0.786,3.462,0,-12,-126,-,431.123,7771.149,0.0,297.946,0.0,2.427,6h 29m,1.799,0.704,1.278,4046.532,0.976,0.024,389,167707,700,274,497,3022977,2949209,1574101,0,0,115901,33,9,944
2533,6680.405,Corvus,Support,26,0.846,5.294,0,-12,-156,-,457.716,2943.885,7174.0,8136.787,27.705,6.126,3h 3m,0.443,0.372,3.049,2727.12,0.897,0.103,183,83762,81,68,558,538731,483443,499063,5070,1312842,176190,22,4,1121
2285,6036.733,Viktor,Damage,196,0.719,3.693,0,-12,-659,-,430.452,8687.537,0.0,505.493,0.0,2.461,25h 37m,1.595,0.619,1.38,4259.383,0.73,0.27,1537,661604,2452,951,2121,13352744,9746017,6546671,0,0,776942,141,55,3782
2493,6611.138,Koga,Flank,20,0.9,4.929,0,-13,-164,-,497.434,7876.836,0.0,1196.75,0.0,4.211,2h 32m,1.974,0.559,1.566,4247.789,0.924,0.076,152,75610,300,85,238,1197279,1106562,645664,0,0,181906,18,2,640
2438,5015.695,Strix,Damage,224,0.719,3.315,0,-14,-367,-,388.957,7824.404,0.0,265.094,0.0,1.113,29h 46m,1.558,0.652,1.205,3160.647,0.958,0.042,1786,694678,2783,1164,2152,13974386,13393505,5644915,0,0,473458,161,63,1988
2417,5347.438,Lian,Damage,670,0.707,3.274,0,-16,-1172,-,354.795,8422.207,0.0,214.776,0.0,1.326,107h 4m,1.615,0.666,1.132,3209.632,0.924,0.076,6424,2279206,10374,4279,7270,54104257,49996629,20618675,0,0,1379718,474,196,8517
2431,6247.045,Jenos,Support,82,0.768,5.023,0,-18,-609,-,367.322,4443.844,4554.297,5664.495,0.0,3.759,12h 3m,0.925,0.416,2.332,2868.115,0.879,0.121,723,265574,669,301,1686,3212899,2823777,2073647,0,3292757,802673,63,19,2718
2073,3373.416,Barik,Front Line,156,0.737,3.04,0,-19,-33,-,298.088,5928.943,0.0,470.522,5183.536,6.886,29h 39m,0.693,0.464,1.435,5621.848,1.0,0.0,1779,530298,1232,825,2552,10547589,10546689,10001268,9221511,0,837058,115,41,12250
2147,4751.364,Buck,Flank,194,0.737,3.095,0,-24,-107,-,395.372,6258.949,0.0,1256.824,0.0,2.239,26h 58m,1.553,0.7,1.228,5045.737,0.935,0.065,1618,639712,2513,1133,1987,10126979,9468913,8164003,0,0,2033541,143,51,3622
2281,5273.927,Bomb King,Damage,118,0.771,3.142,0,-28,-97,-,456.201,7165.705,0.0,567.805,0.0,7.69,16h 45m,1.553,0.679,1.158,4251.775,0.895,0.105,1005,458482,1561,682,1164,7201534,6443858,4273034,0,0,570644,91,27,7728
2094,5216.848,Evie,Flank,125,0.808,3.079,0,-45,-54,-,434.277,7094.079,0.0,737.818,0.0,2.607,15h 11m,1.696,0.749,1.218,3627.432,0.98,0.02,911,395626,1545,682,1110,6462706,6331565,3304591,0,0,672152,101,24,2375
